,ID,cnt,time_a,time_b1,time_b2,time_b3,time_b4,time_start,time_solving,time_total,time_answer,time_irrelevant,time_explore_relevant,time_ticket_explore,time_explore_total,time_avg_explore,time_avg_btw_events,events_num,sequence,length,credit,OECD,gender
377,AUS000011702173,AUS,18.6,7.4,0,0,0,12.5,27.6,40.1,26,1.6,18.6,0,20.2,13,3.45,8,ab,2,1,1,2
378,AUS000011702175,AUS,23.2,8.4,0,0,0,46.5,33.6,80.1,31.6,2,23.2,0,25.2,15.8,4.2,8,ab,2,1,1,2
379,AUS000050409370,AUS,14.7,5.4,0,7.6,0,11,41.3,52.3,27.7,13.6,22.3,0,35.9,6.925,1.877272727,22,abab,4,1,1,2
380,AUS000027105048,AUS,16.1,4.4,0,8.4,0,20.6,32.4,53,28.9,3.5,24.5,0,28,7.225,1.905882353,17,abab,4,1,1,2
381,AUS000057910779,AUS,23.8,2.8,0,0,18.6,16.5,57.9,74.4,45.2,12.7,42.4,6.1,55.1,11.3,2.757142857,21,abab,4,1,1,2
382,AUS000019803687,AUS,9.4,7.1,0,0,0,36.2,17.4,53.6,16.5,0.9,9.4,0,10.3,8.25,2.175,8,ab,2,1,1,1
383,AUS000031905937,AUS,3.7,7.2,0,19.4,0,23.7,33,56.7,30.3,2.7,23.1,0,25.8,10.1,2.538461538,13,bab,3,1,1,2
384,AUS000031905931,AUS,15.3,8.8,0,0,0,12.7,25.2,37.9,24.1,1.1,15.3,0,16.4,12.05,3.15,8,ab,2,1,1,2
385,AUS000031905928,AUS,8.3,8.1,0,0,0,15,18.1,33.1,16.4,1.7,8.3,0,10,8.2,2.2625,8,ab,2,1,1,2
386,AUS000076814349,AUS,5.7,6,0,13.3,0,19.1,27.7,46.8,25,2.7,19,0,21.7,8.333333333,2.130769231,13,bab,3,1,1,1
387,AUS000028805369,AUS,15.1,7.3,0,0,0,18.4,24.4,42.8,22.4,2,15.1,0,17.1,11.2,3.05,8,ab,2,1,1,2
388,AUS000050209343,AUS,20.3,5,0,0,21,34.2,51.3,85.5,46.3,5,41.3,11,46.3,11.575,2.565,20,abab,4,1,1,1
389,AUS000050209336,AUS,31.2,14.7,0,0,0,20,47.3,67.3,45.9,1.4,31.2,0,32.6,22.95,5.9125,8,ab,2,1,1,1
390,AUS000050209339,AUS,17,4.5,0,3.9,0,14.7,35,49.7,25.4,9.6,20.9,0,30.5,6.35,1.842105263,19,abab,4,1,1,2
391,AUS000047708831,AUS,7,15.2,0,13.5,0,20.1,38.7,58.8,35.7,3,20.5,0,23.5,11.9,2.976923077,13,bab,3,1,1,1
392,AUS000047708833,AUS,12,5.1,0,0,0,20,33.7,53.7,17.1,16.6,12,0,28.6,8.55,2.592307692,13,ab,2,1,1,2
393,AUS000040307461,AUS,3.9,0,17,0,0,16.1,32.1,48.2,20.9,11.2,3.9,3.4,49.1,10.45,2.00625,16,ab,2,1,1,2
394,AUS000023404320,AUS,22.4,13.2,0,0,0,18.1,37.9,56,35.6,2.3,22.4,0,24.7,17.8,4.7375,8,ab,2,1,1,2
395,AUS000008001513,AUS,23.7,10.7,0,0,0,22,36,58,34.4,1.6,23.7,0,25.3,17.2,4.5,8,ab,2,1,1,2
396,AUS000035606613,AUS,15.7,7.5,0,0,0,16.2,24.2,40.4,23.2,1,15.7,0,16.7,11.6,3.025,8,ab,2,1,1,2
397,AUS000039207240,AUS,3.6,14.2,0,14.1,0,23.6,35.1,58.7,31.9,3.2,17.7,0,20.9,10.63333333,2.7,13,bab,3,1,1,2
398,AUS000077414452,AUS,25.2,3.7,0,7.1,0,29.1,39.8,68.9,36,3.8,32.3,0,36.1,9,2.341176471,17,abab,4,1,1,2
399,AUS000041407655,AUS,9,4.8,0,17,0,18.1,39.5,57.6,30.8,8.7,26,0,34.7,6.16,1.645833333,24,abbab,5,1,1,2
400,AUS000041407644,AUS,18.3,0,19,0,0,15.9,38.3,54.2,37.3,1,18.3,7.3,57.3,18.65,3.481818182,11,ab,2,1,1,2
401,AUS000014202664,AUS,13.2,7.2,0,9,0,26.2,46,72.2,29.4,16.6,22.2,0,38.8,7.35,1.916666667,24,abab,4,1,1,2
402,AUS000014202661,AUS,12.1,3.8,0,4.1,0,23.2,23,46.2,20,3,16.2,0,19.2,5,1.352941176,17,abab,4,1,1,1
403,AUS000061711503,AUS,3.4,4.4,0,0,20.9,3.5,31.1,34.6,28.7,2.4,24.3,4.4,26.7,9.566666667,2.073333333,15,bab,3,1,1,1
404,AUS000024504523,AUS,4.4,6.6,0,38.4,0,30.4,71.8,102.2,49.4,22.4,42.8,0,65.2,12.35,2.111764706,34,bbab,4,1,1,1
405,AUS000028905390,AUS,3.1,5.8,0,11,0,21.2,27.7,48.9,19.9,7.8,14.1,0,21.9,6.633333333,1.629411765,17,bab,3,1,1,2
406,AUS000066612465,AUS,10.4,3.8,0,11.4,0,17.9,30.2,48.1,25.6,4.6,21.8,0,26.4,8.533333333,2.323076923,13,abb,3,1,1,2
407,AUS000036406726,AUS,6.2,8,0,11.7,0,19.7,28.4,48.1,25.9,2.5,17.9,0,20.4,8.633333333,2.184615385,13,bab,3,1,1,1
408,AUS000036406714,AUS,22.1,6.4,0,0,0,12.4,30.3,42.7,28.5,1.8,22.1,0,23.9,14.25,3.7875,8,ab,2,1,1,2
409,AUS000055010231,AUS,3,9.1,0,14.6,0,14.3,29.2,43.5,26.7,2.5,17.6,0,20.1,8.9,2.246153846,13,bab,3,1,1,2
410,AUS000026404903,AUS,4.9,6.8,0,0,0,16.5,12.4,28.9,11.7,0.7,4.9,0,5.6,5.85,1.55,8,ab,2,1,1,2
411,AUS000026404915,AUS,37.6,14.2,0,12.1,0,32.6,66.6,99.2,63.9,2.7,49.7,0,52.4,15.975,3.917647059,17,abab,4,1,1,2
412,AUS000026404911,AUS,12.6,9.6,0,7.2,0,15.8,36,51.8,29.4,6.6,19.8,0,26.4,7.35,2.117647059,17,abab,4,1,1,2
413,AUS000046308585,AUS,15.7,3.5,0,0,0,11,20.6,31.6,19.2,1.4,15.7,0,17.1,9.6,2.575,8,ab,2,1,1,1
414,AUS000046308583,AUS,3.5,29,0,12.6,82.9,20.7,142.2,162.9,128,14.2,99,68.9,113.2,25.6,5.688,25,bbabb,5,1,1,1
415,AUS000046308574,AUS,7.6,4.7,0,0,0,18.1,13.4,31.5,12.3,1.1,7.6,0,8.7,6.15,1.675,8,ab,2,1,1,1
416,AUS000010802015,AUS,12.1,10.6,0,6.4,0,31.2,34.8,66,29.1,5.7,18.5,0,24.2,7.275,1.831578947,19,abab,4,1,1,2
417,AUS000051609584,AUS,11.8,20.5,0,0,0,19.2,33.8,53,32.3,1.5,11.8,0,13.3,16.15,4.225,8,ab,2,1,1,1
