ID,cnt,time_a,time_b1,time_b2,time_b3,time_b4,time_start,time_solving,time_total,time_answer,time_irrelevant,time_explore_relevant,time_ticket_explore,time_explore_total,time_avg_explore,time_avg_btw_events,events_num,sequence,length,credit,OECD,ratio,mean,weight,gender
ARE000031608039,ARE,28.8,18.1,0,15,0,19.8,69.1,88.9,61.9,7.2,43.8,0,51,15.475,3.636842105,19,abab,4,1,0,0.85,518.4,10114.02392,1
ARE000015803972,ARE,7.9,5.3,0,38.2,0,12,56.2,68.2,51.4,4.8,46.1,0,50.9,17.13333333,3.746666667,15,bab,3,1,0,0.37,227.8,4444.395543,1
ARE000037309403,ARE,21.2,8.4,0,0,0,24.9,31.6,56.5,29.6,2,21.2,0,23.2,14.8,3.95,8,ab,2,1,0,0.46,280.8,5478.429625,1
ARE000040510203,ARE,29.3,19.5,0,0,0,13.2,50,63.2,48.8,1.2,29.3,0,30.5,24.4,6.25,8,ab,2,1,0,0.95,577.5,11267.06947,1
ARE000026806844,ARE,5.4,9.8,0,12.7,0,75.9,35.5,111.4,27.9,7.6,18.1,0,25.7,9.3,2.21875,16,bab,3,1,0,0.91,514.952381,10813.81836,2
ARE000000400093,ARE,6,12.1,0,51.7,0,13.6,104.9,118.5,69.8,35.1,57.7,0,92.8,23.26666667,6.170588235,17,bab,3,1,0,0.64,348.5263158,7629.162175,2
ARE000000400106,ARE,19.4,7.1,0,0,0,14.5,28.8,43.3,26.5,2.3,19.4,0,21.7,13.25,2.88,10,ab,2,1,0,0.47,285.5,5570.126987,2
ARE000042610703,ARE,26.9,10.5,0,0,0,22.6,42,64.6,37.4,4.6,26.9,0,31.5,12.46666667,3,14,aab,3,1,0,0.87,480.6666667,10380.38243,1
ARE000042610704,ARE,6.5,9.1,0,0,0,14.8,16.3,31.1,15.6,0.7,6.5,0,7.2,7.8,2.0375,8,ab,2,1,0,0.91,518.7619048,10893.81702,1
ARE000042610713,ARE,3.6,6.4,0,9.1,0,21.3,30.7,52,19.1,11.6,12.7,0,24.3,6.366666667,1.279166667,24,bab,3,1,0,0.49,302,5892.043257,1
ARE000010802674,ARE,7.2,0,20.1,0,0,21.4,50.1,71.5,27.3,22.8,7.2,15.6,70.2,13.65,2.783333333,18,ab,2,1,0,0.46,263.1428571,5525.907182,2
ARE000017404411,ARE,16,6.9,0,5.2,0,17.6,58.7,76.3,28.1,30.6,21.2,0,51.8,7.025,1.834375,32,abab,4,1,0,0.88,501.3,10528.04272,2
ARE000017404426,ARE,27.7,10.1,0,16.1,0,28.6,64.7,93.3,53.9,10.8,43.8,0,54.6,13.475,3.405263158,19,abab,4,1,0,0.98,537.35,11633.98511,2
ARE000014803724,ARE,37,13.2,0,0,0,20.9,54.2,75.1,50.2,4,37,0,41,25.1,5.42,10,ab,2,1,0,0.94,518.0952381,11188.68247,2
ARE000014803713,ARE,34.8,8.1,0,11.8,0,20,58,78,54.7,3.3,46.6,0,49.9,13.675,3.411764706,17,abab,4,1,0,0.66,375.6190476,7887.867509,1
ARE000033608504,ARE,9.9,12.5,0,18.6,0,25.9,48.6,74.5,41,7.6,28.5,0,36.1,13.66666667,3.738461538,13,bab,3,1,0,0.64,364.55,7656.090112,1
ARE000012303067,ARE,30,15.8,0,0,0,9.2,48.2,57.4,45.8,2.4,30,0,32.4,22.9,6.025,8,ab,2,1,0,0.46,262.3809524,5509.907451,1
ARE000012303060,ARE,14,5.2,0,4.4,17.1,24.9,56.5,81.4,40.7,15.8,35.5,9.4,51.3,8.14,1.712121212,33,abbab,5,1,0,0.65,360.0952381,7776.545667,1
ARE000035708980,ARE,16.5,35.7,0,0,0,35.2,92.6,127.8,52.2,40.4,16.5,0,56.9,26.1,7.123076923,13,ab,2,1,0,0.37,228.6,4460.003605,2
ARE000024606266,ARE,3.4,0,10.7,0,38.4,41.6,91.3,132.9,52.5,38.8,41.8,22.2,102,17.5,3.804166667,24,bab,3,1,0,0.57,324.6190476,6816.885498,1
ARE000024606258,ARE,19.8,8.8,0,0,0,18.7,61.4,80.1,28.6,32.8,19.8,0,52.6,14.3,5.116666667,12,ab,2,1,0,0.38,209.952381,4534.090167,1
ARE000019004881,ARE,28.6,8.2,0,0,0,24.2,91.5,115.7,36.8,54.7,28.6,0,83.3,18.4,7.038461538,13,ab,2,1,0,0.67,400.5714286,7935.170053,2
ARE000008202041,ARE,25.9,19.6,0,0,0,12.5,47.7,60.2,45.5,2.2,25.9,0,28.1,22.75,5.9625,8,ab,2,1,0,0.51,281.3809524,6076.647493,1
ARE000015603908,ARE,34.1,23,0,0,0,24.2,63.1,87.3,57.1,6,34.1,0,40.1,28.55,7.8875,8,ab,2,1,0,0.7,383.4285714,8280.447726,1
ARE000012803183,ARE,5.8,3,0,0,0,36.4,16,52.4,8.8,7.2,5.8,0,13,4.4,1.142857143,14,ab,2,1,0,0.29,174.8,3410.361462,2
ARE000019104904,ARE,8.8,8.9,0,0,26.3,41.9,114.5,156.4,44,70.5,35.1,2.1,105.6,14.66666667,5.725,20,bab,3,1,0,0.56,344.3,6717.319515,1
ARE000021405468,ARE,6,11.2,0,0,0,48.8,125,173.8,17.2,107.8,6,0,113.8,8.6,2.272727273,55,ab,2,1,0,0.66,357.9473684,7835.386885,1
ARE000045811484,ARE,44.5,8.3,0,0,0,31.4,77.5,108.9,52.8,24.7,44.5,0,69.2,17.6,3.875,20,aab,3,1,0,0.67,406.6,7932.797313,2
ARE000023606035,ARE,2.5,0,7.3,0,0,18.3,84,102.3,9.8,74.2,2.5,2.3,91.3,4.9,1.68,50,ab,2,1,0,0.51,283,6111.612126,1
ARE000023706059,ARE,43.6,13.7,0,0,0,14.5,58.8,73.3,57.3,1.5,43.6,0,45.1,28.65,7.35,8,ab,2,1,0,0.56,342,6672.446338,1
ARE000023706055,ARE,32.2,21.8,0,0,0,13.9,72.5,86.4,54,18.5,32.2,0,50.7,27,9.0625,8,ab,2,1,0,0.29,174.2,3398.655415,1
ARE000040610213,ARE,18.2,16.9,0,0,0,29.5,55,84.5,35.1,19.9,18.2,0,38.1,17.55,3.928571429,14,ab,2,1,0,0.84,459.1666667,9986.438175,2
ARE000040610220,ARE,21.8,21.6,0,0,0,25.3,44.8,70.1,43.4,1.4,21.8,0,23.2,21.7,5.6,8,ab,2,1,0,0.81,457.3333333,9603.838686,2
ARE000027407004,ARE,18.1,0,75.7,0,0,30.6,134.2,164.8,93.8,40.4,18.1,49.1,209.9,46.9,7.894117647,17,ab,2,1,0,0.33,185.6111111,3973.479729,1
ARE000036209112,ARE,55,21.1,0,0,0,23.8,89.4,113.2,76.1,13.3,55,0,68.3,38.05,7.45,12,ab,2,1,0,0.67,407.4,7948.405374,2
ARE000042910781,ARE,5.2,4.5,0,30.6,0,30,44.8,74.8,40.3,4.5,35.8,0,40.3,13.43333333,2.986666667,15,bab,3,1,0,0.77,423.2857143,9141.194714,1
AUS000065312202,AUS,24.5,8.8,0,0,0,17.5,35.3,52.8,33.3,2,24.5,0,26.5,16.65,4.4125,8,ab,2,1,1,0.86,527.6,10293.51663,2
AUS000065312190,AUS,4.7,6.5,0,13.7,0,17.4,27.5,44.9,24.9,2.6,18.4,0,21,8.3,2.115384615,13,bab,3,1,1,0.55,336.3,6561.238899,2
AUS000018403450,AUS,21.2,5.6,0,0,0,7.7,27.9,35.6,26.8,1.1,21.2,0,22.3,13.4,3.4875,8,ab,2,1,1,0.84,473.8571429,9950.832857,1
AUS000013902597,AUS,6.7,4.7,0,0,33.7,15.2,67.8,83,45.1,22.7,40.4,9.9,63.1,15.03333333,3.39,20,bab,3,1,1,0.38,231.3,4512.680813,1
