ID,cnt,time_a,time_b1,time_b2,time_b3,time_b4,time_start,time_solving,time_total,time_answer,time_irrelevant,time_explore_relevant,time_ticket_explore,time_explore_total,time_avg_explore,time_avg_btw_events,events_num,sequence,length,credit,OECD
MAC000003103551,MAC,2.7536607123542622,0.0,2.9652730660692823,0.0,0.0,1.3901705641414615,1.5892250875539449,1.6546414131499951,1.5105668246594022,1.332673388161047,1.3227315537798947,1.2689813962850498,1.6518386015896627,2.865053949911875,1.5524604776752733,13.0,ab,2.0,1.0,0
MAC000003103550,MAC,3.086486636822455,1.840549633397487,0.0,0.0,2.5257286443082556,1.1516230654638673,1.7755948899440306,1.7849600722489893,1.5381222596715702,1.7184252906209485,1.505976902679375,1.0144542615656185,1.7687775431068697,1.7426567562203232,1.172482137234565,60.0,aaaaaabb,8.0,1.0,0
MAC000003103523,MAC,2.066862759472976,1.9315214116032138,0.0,2.388762789235098,0.0,1.5798842520531877,1.6410226928256553,1.7410281092520057,1.426830326291512,1.5525036599970816,1.3556285491233313,0.0,1.6221340453157358,1.8983692042863132,1.1555791132856448,29.0,abab,4.0,1.0,0
MAC000003103526,MAC,3.1822118404966093,2.3513752571634776,0.0,0.0,0.0,1.4174927253313425,1.5112131309970578,1.6144954397020792,1.5073002128032533,0.3852648696622474,1.4308402550311592,0.0,1.436703034708873,2.8507065015037334,1.6389967146756448,8.0,ab,2.0,1.0,0
MAC000003103498,MAC,2.714694743820879,1.667706820558076,0.0,3.068052935133617,0.0,1.308700647385536,1.5920925492406057,1.6407200993500939,1.5446596449907881,1.228445035063586,1.5200263419066968,0.0,1.5736623488849248,2.3725774648140807,1.06072402058882,26.0,abab,4.0,1.0,0
MAC000003103530,MAC,3.292126286607793,1.7227665977411035,0.0,2.0541237336955462,2.388762789235098,1.0439975663344805,1.635487930316998,1.651272127231907,1.5841937470830596,1.3122965062394296,1.5634059425218005,0.7078482962561656,1.620428726255306,2.1822989271571376,1.0306692858761042,34.0,ababab,6.0,1.0,0
MAC000003103557,MAC,3.3568971227655755,1.7227665977411035,0.0,1.7749523509116738,0.0,1.3068796510064953,1.5727547819290861,1.6261562246598287,1.5353252820937662,1.1404678946996611,1.5073002128032533,0.0,1.5504460211620947,2.33214389523559,1.287448526548193,17.0,abab,4.0,1.0,0
MAC000003103537,MAC,2.2192034840549946,3.3357695763397,0.0,3.8691155044168695,0.0,1.3406113225148708,1.7160049832072963,1.7430804826189308,1.6903259269493645,1.283727105327437,1.6148504009614997,0.0,1.6543633226685388,3.070375816549757,1.633494055203447,23.0,bbab,4.0,1.0,0
MAC000002903461,MAC,2.4849066497880004,1.8870696490323797,0.0,0.0,0.0,1.4196068415100236,1.3762705642856505,1.5519915159476683,1.3527114402391565,0.6897673619073008,1.2484412575662103,0.0,1.2857543837624197,2.2300144001592104,1.1901273975038829,8.0,ab,2.0,1.0,0
MAC000002903464,MAC,3.202746442938317,2.2082744135228043,0.0,0.0,0.0,1.2555018606972819,1.509267242728173,1.5709251426920794,1.5012679156337616,0.5813534384286917,1.4357382265653922,0.0,1.4470070948020248,2.8243506567983707,1.63168852136892,8.0,ab,2.0,1.0,0
MAC000003303877,MAC,3.3357695763397,2.379546134130174,0.0,2.5726122302071057,0.0,1.4131945252404847,1.6152046044379273,1.6773894950432269,1.5916858743493758,1.0899350924623954,1.546256762051883,0.0,1.576356602040725,2.583997552432231,1.2888390250872879,21.0,abab,4.0,1.0,0
MAC000003303856,MAC,2.8449093838194073,2.0794415416798357,0.0,0.0,0.0,1.2093707861212477,1.4460929929360595,1.517552001297038,1.431829861556148,0.65039140701146,1.3467500354027575,0.0,1.368263661616458,2.533696813957432,1.4079335362233718,8.0,ab,2.0,1.0,0
MAC000002302676,MAC,2.379546134130174,1.4586150226995167,0.0,2.151762203259462,0.0,1.0804178182729878,1.5600106287932884,1.5871467802585542,1.4054380116685825,1.4110094829394235,1.364138386349311,0.0,1.543047890221325,1.820508882514041,0.9148611388928869,28.0,abab,4.0,1.0,0
MAC000000300210,MAC,3.4657359027997265,3.139832617527748,0.0,0.0,0.0,1.297534056720424,1.6261562246598287,1.6651263968699839,1.607603067305341,1.0439975663344805,1.496434016604423,0.0,1.530176786686604,3.3160025355989236,1.922787731634459,10.0,ab,2.0,1.0,0
