"","ID","cnt","time_a","time_b1","time_b2","time_start","time_solving","time_total","time_answer","time_irrelevant","time_explore_relevant","time_ticket_explore","time_explore_total","time_avg_explore","time_avg_btw_events","events_num","sequence","length","credit","OECD","ratio","mean","weight","gender"
"5029","NLD000006301540","NLD",2.895911938,2.76000994,0,1.248441258,1.514410424,1.573209165,1.502625823,0.707848296,1.359927782,0,1.383971599,2.830267834,1.651059587,8,"ab",2,1,1,0.51,283.8095238,6129.094442,1
"5030","NLD000006301557","NLD",2.197224577,1.609437912,3.505557397,1.001648495,1.586308279,1.60461356,1.571384381,0.908905343,1.551991516,0,1.568610397,2.288486169,1.153157864,22,"babab",5,1,1,0.76,431.3333333,9057.847857,2
"5031","NLD000009002225","NLD",2.525728644,2.674148649,0,1.42581472,1.4602153,1.591278219,1.448822238,0.605904389,1.260087123,0,1.287762861,2.602689685,1.455703812,8,"ab",2,1,1,0.76,421.0952381,9093.889623,2
"5032","NLD000009002238","NLD",2.809402695,2.468099531,0,1.415355444,1.473352769,1.593709535,1.461063885,0.650391407,1.337472404,0,1.359927782,2.653241965,1.501295754,8,"ab",2,1,1,0.47,261.6190476,5649.8733,1
"5033","NLD000009002227","NLD",3.077312261,1.974081026,0,0.741276311,1.475716492,1.490748538,1.46525033,0.605904389,1.405438012,0,1.419606842,2.670694415,1.509617577,8,"ab",2,1,1,0.67,368.4285714,7956.510688,2
"5034","NLD000017904450","NLD",2.32238772,2.219203484,0,1.179052394,1.520639636,1.566264152,1.364138386,1.362744492,1.200683717,0,1.461908664,2.272125886,1.197954732,15,"ab",2,1,1,0.31,168.952381,3648.662262,1
"5035","NLD000017904441","NLD",2.587764035,1.945910149,0,0.899598192,1.571842396,1.586308279,1.376270564,1.458506581,1.277529177,0,1.541965131,2.317473705,1.376244025,15,"ab",2,1,1,0.67,367.047619,7926.687913,2
"5036","NLD000017904443","NLD",3.306886702,2.066862759,3.484312288,1.266791301,1.657668996,1.68696435,1.646082201,0.966695036,1.624492243,0,1.637662763,2.636196097,1.418717548,22,"abbab",5,1,1,0.46,262.7619048,5517.907317,2
"5037","NLD000011702908","NLD",2.163323026,1.667706821,1.85629799,1.324421601,1.414277969,1.530176787,1.364138386,0.966695036,1.293678617,0,1.361340998,1.677096561,0.817444897,17,"abab",4,1,1,0.48,263.4761905,5689.97979,2
"5038","NLD000011702900","NLD",2.351375257,2.054123734,0,1.277529177,1.374957916,1.492901297,1.348256638,0.724990138,1.209370786,0,1.257806364,2.213753879,1.186317869,8,"ab",2,1,1,0.61,343.5238095,7213.87883,2
"5039","NLD000009902475","NLD",2.282382386,2.341805806,1.824549292,1.369620336,1.6166139,1.669489371,1.433793962,1.504643875,1.310506186,0,1.579884252,1.924248652,1.143732724,26,"abab",4,1,1,0.76,418.952381,9047.612903,2
"5040","NLD000016104001","NLD",2.493205453,1.774952351,2.646174797,1.297534057,1.502625823,1.575463213,1.482632461,0.848012348,1.441455614,0.995008781,1.466076537,2.113238921,1.019649245,18,"abab",4,1,1,0.57,324.0952381,6805.885683,1
"5041","NLD000016104010","NLD",2.862200881,1.902107526,0,1.158782306,1.430840255,1.496434017,1.421698251,0.495826022,1.351237197,0,1.364138386,2.493205453,1.357766278,8,"ab",2,1,1,0.34,190.4285714,3998.932831,2
"5042","NLD000000600139","NLD",3.526360525,2.128231706,2.066862759,1.043997566,1.612349588,1.630405292,1.584618762,1.128774165,1.549927808,0,1.583340521,2.551396391,1.278284837,21,"abab",4,1,1,0.48,269.9047619,5667.904797,1
"5043","NLD000011402827","NLD",3.100092289,2.028148247,1.916922612,1.155229431,1.533625651,1.573209165,1.513775481,0.899598192,1.466076537,0,1.491468931,2.240709689,1.153917134,17,"abab",4,1,1,0.58,320.6666667,6925.054023,2
"5044","NLD000000400087","NLD",3.36729583,2.63188884,0,1.155229431,1.560499762,1.594912194,1.55504209,0.55499791,1.474144014,0,1.482632461,3.065724645,1.832581464,8,"ab",2,1,1,0.27,146.4761905,3163.27089,1
"5045","NLD000013703389","NLD",2.079441542,1.974081026,0,1.132734821,1.317578463,1.415355444,1.295614983,0.581353438,1.124748263,0,1.169133964,2.028148247,1.029619417,8,"ab",2,1,1,0.56,319.6190476,6711.887261,2
