,Unnamed: 0,ID,cnt,time_A_total,time_b1,time_b2,time_B_total,time_start,time_end,time_solving,time_total,time_answer,time_not_answer,time_solving_2,events_num,avg_time_btw_events,sequence,length,credit,OECD
1105,1106,AUS000042507858,AUS,26.6,5.1,14.1,19.2,16.2,2.3,52.2,70.7,45.8,6.4,52.2,17,3.070588235,abab,4,1,1
1107,1108,AUS000042507870,AUS,12.4,8,0,8,19.5,2.7,21.7,43.9,20.4,1.3,21.7,8,2.7125,ab,2,1,1
1109,1110,AUS000000300041,AUS,17,3.7,6.1,9.8,23.4,3.3,31.1,57.8,26.8,4.3,31.1,17,1.829411765,abab,4,1,1
1112,1113,AUS000020003731,AUS,23.3,10.1,9,19.1,14.1,5.3,46.4,65.8,42.4,4,46.4,17,2.729411765,abab,4,1,1
1113,1114,AUS000020003715,AUS,15.8,7.8,3.5,11.3,16.4,2.8,36.4,55.6,27.1,9.3,36.4,23,1.582608696,abab,4,1,1
1114,1115,AUS000073713763,AUS,14.5,4.2,5.4,9.6,24.2,2.1,33.5,59.8,24.1,9.4,33.5,21,1.595238095,abab,4,1,1
1115,1116,AUS000073713766,AUS,20.2,23.5,0,23.5,29,2.6,45.3,76.9,43.7,1.6,45.3,8,5.6625,ab,2,1,1
1118,1119,AUS000042807925,AUS,27.4,29.9,0,29.9,23,4,57.6,84.6,57.3,0.3,57.6,8,7.2,ab,2,1,1
1119,1120,AUS000001300236,AUS,11.6,8.6,0,8.6,22.5,1.8,21.3,45.6,20.2,1.1,21.3,8,2.6625,ab,2,1,1
1120,1121,AUS000001300240,AUS,12.7,7.1,0,7.1,18,2.9,22.5,43.4,19.8,2.7,22.5,10,2.25,ab,2,1,1
1122,1123,AUS000037606951,AUS,5.9,5.2,8.4,13.6,22.2,3.2,23.7,49.1,19.5,4.2,23.7,13,1.823076923,bab,3,1,1
1123,1124,AUS000037606956,AUS,39,11.1,0,11.1,15.3,11.1,50.8,77.2,50.1,0.7,50.8,8,6.35,ab,2,1,1
1124,1125,AUS000004900939,AUS,9.4,10.4,21.5,31.9,8,2.9,47.5,58.4,41.3,6.2,47.5,13,3.653846154,bab,3,1,1
1126,1127,AUS000048909074,AUS,57.3,4.7,0,4.7,78.2,3.7,63.6,145.5,62,1.6,63.6,8,7.95,ab,2,1,1
1129,1130,AUS000027705167,AUS,21.6,12.6,0,12.6,9.3,3.9,36.5,49.7,34.2,2.3,36.5,8,4.5625,ab,2,1,1
1130,1131,AUS000027705186,AUS,15.4,13.7,0,13.7,15.4,3,30.6,49,29.1,1.5,30.6,8,3.825,ab,2,1,1
1134,1135,AUS000034706445,AUS,5.4,4,6.5,10.5,15.3,1.9,54,71.2,15.9,38.1,54,26,2.076923077,bab,3,1,1
1136,1137,AUS000034706444,AUS,16.9,9.4,12.8,22.2,17.9,1.7,43.3,62.9,39.1,4.2,43.3,25,1.732,aaaaabab,8,1,1
1137,1138,AUS000049009082,AUS,5.2,8.2,0,8.2,18.7,2.5,14.4,35.6,13.4,1,14.4,8,1.8,ab,2,1,1
1138,1139,AUS000049009077,AUS,3.6,5.9,6.8,12.7,18,2.8,19.4,40.2,16.3,3.1,19.4,15,1.293333333,bab,3,1,1
1139,1140,AUS000049009093,AUS,12.6,4,17.8,21.8,30.2,2.6,43.9,76.7,34.4,9.5,43.9,24,1.829166667,ababb,5,1,1
1140,1141,AUS000041207618,AUS,12.4,4.2,16.3,20.5,11.1,2.3,52.1,65.5,32.9,19.2,52.1,35,1.488571429,ababab,6,1,1
1141,1142,AUS000000800138,AUS,9.9,13.5,13.7,27.2,14.3,2.6,44.2,61.1,37.1,7.1,44.2,21,2.104761905,abab,4,1,1
1147,1148,AUS000064912119,AUS,19.1,23.5,0,23.5,17,2.6,44.1,63.7,42.6,1.5,44.1,8,5.5125,ab,2,1,1
1148,1149,AUS000064912108,AUS,36.1,14.9,0,14.9,32.1,3,52.2,87.3,51,1.2,52.2,8,6.525,ab,2,1,1
1149,1150,AUS000033606251,AUS,30.2,3.7,8.7,12.4,9.9,2.7,50.2,62.8,42.6,7.6,50.2,21,2.39047619,abab,4,1,1
1151,1152,AUS000001200216,AUS,32.1,10.4,0,10.4,16.8,6.6,53.9,77.3,42.5,11.4,53.9,13,4.146153846,ab,2,1,1
1157,1158,AUS000048308947,AUS,18.5,25.6,0,25.6,16.8,2.9,44.6,64.3,44.1,0.5,44.6,8,5.575,ab,2,1,1
1160,1161,AUS000038807177,AUS,32.3,13.1,0,13.1,22.9,4.5,51.1,78.5,45.4,5.7,51.1,8,6.3875,ab,2,1,1
1172,1173,AUS000029605501,AUS,10.3,8.9,0,8.9,6.2,2.2,21.9,30.3,19.2,2.7,21.9,10,2.19,ab,2,1,1
1173,1174,AUS000029605502,AUS,11.3,20.4,0,20.4,27.6,3.3,62.3,93.2,31.7,30.6,62.3,13,4.792307692,ab,2,1,1
1175,1176,AUS000001800335,AUS,15.3,8.6,0,8.6,15.5,3.2,25.2,43.9,23.9,1.3,25.2,8,3.15,ab,2,1,1
1178,1179,AUS000044708291,AUS,2.5,9.5,14.1,23.6,15.7,2.6,28.9,47.2,26.1,2.8,28.9,13,2.223076923,bab,3,1,1
1179,1180,AUS000044708282,AUS,3.4,7.7,8.6,16.3,19.6,3.1,24.6,47.3,19.7,4.9,24.6,13,1.892307692,bab,3,1,1
1181,1182,AUS000066812490,AUS,33.3,7.4,0,7.4,72.5,1.9,44.4,118.8,40.7,3.7,44.4,8,5.55,ab,2,1,1
1183,1184,AUS000066812501,AUS,25.3,13.2,0,13.2,14.9,2.8,42.2,59.9,38.5,3.7,42.2,8,5.275,ab,2,1,1
1192,1193,AUS000031405839,AUS,21.7,9.8,0,9.8,15.3,4.1,44.8,64.2,31.5,13.3,44.8,17,2.635294118,aab,3,1,1
1194,1195,AUS000033106152,AUS,31.7,8.9,15.3,24.2,11.8,2.5,58.9,73.2,55.9,3,58.9,17,3.464705882,abab,4,1,1
1197,1198,AUS000033106142,AUS,6.2,17.2,0,17.2,19.2,4.4,25,48.6,23.4,1.6,25,8,3.125,ab,2,1,1
1198,1199,AUS000056310472,AUS,12.8,9.7,0,9.7,37.1,3.9,26,67,22.5,3.5,26,8,3.25,ab,2,1,1
1199,1200,AUS000056310475,AUS,14.3,26.4,0,26.4,23.1,5.4,42.5,71,40.7,1.8,42.5,8,5.3125,ab,2,1,1
