stu_id,sequence,length
AUS000063011746,abab,4.0
AUS000041107609,bab,3.0
AUS000041107601,abab,4.0
AUS000041107604,bab,3.0
AUS000000700123,ab,2.0
AUS000000700125,a,1.0
AUS000032506033,bab,3.0
AUS000032506040,bab,3.0
AUS000032506041,ab,2.0
AUS000058410873,a,1.0
AUS000058410869,ab,2.0
AUS000065612261,b,1.0
AUS000065612275,a,1.0
AUS000043007953,b,1.0
AUS000044408233,ab,2.0
AUS000011802198,b,1.0
AUS000013102440,bab,3.0
AUS000033406220,ab,2.0
AUS000033406213,bb,2.0
AUS000042607884,ab,2.0
AUS000042607890,a,1.0
AUS000042607892,a,1.0
AUS000042607886,aa,2.0
AUS000013402509,bab,3.0
AUS000013402503,bab,3.0
AUS000071613358,b,1.0
AUS000046608640,ab,2.0
AUS000046608629,ab,2.0
AUS000013302488,a,1.0
AUS000013302481,ab,2.0
AUS000013302490,bab,3.0
AUS000013302495,b,1.0
AUS000059111010,a,1.0
AUS000045608455,ab,2.0
